name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"JaVale McGee","Dallas Mavericks",2016-01-10,2015,3452,1610612742,400828444,2,11,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,"Dieng, Gorgui",4.60,11.90
"Zach LaVine","Minnesota Timberwolves",2015-12-20,2015,3064440,1610612750,400828290,4,8,22,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,1,0.50,"Young, Thaddeus",4.50,24.00
"DeAndre Jordan","Los Angeles Clippers",2016-01-10,2015,3442,1610612746,400828445,3,3,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,"Asik, Omer",5.70,11.70
"DeAndre Jordan","Los Angeles Clippers",2016-01-22,2015,3442,1610612746,400828535,1,3,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,4,4.00,"Williams, Derrick",4.10,11.60
"JaVale McGee","Dallas Mavericks",2016-01-05,2015,3452,1610612742,400828410,3,0,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,"Koufos, Kosta",3.40,2.50
"Timofey Mozgov","Cleveland Cavaliers",2015-12-20,2015,4298,1610612739,400828292,1,6,40,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,"Okafor, Jahlil",1.00,13.00
"Timofey Mozgov","Cleveland Cavaliers",2016-02-08,2015,4298,1610612739,400828662,2,8,31,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-01-22,2015,3442,1610612746,400828535,3,6,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,"Lopez, Robin",2.30,8.10
"DeAndre Jordan","Los Angeles Clippers",2015-12-26,2015,3442,1610612746,400828339,4,3,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,1,0.40,"Hood, Rodney",5.30,13.80
"JaVale McGee","Dallas Mavericks",2016-01-13,2015,3452,1610612742,400828469,3,11,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,1.50,"Adams, Steven",3.90,14.50
"Alex Len","Phoenix Suns",2016-03-12,2015,2596107,1610612756,400828868,2,9,29,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2016-01-02,2015,2386,1610612744,400828391,1,11,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,"Gallinari, Danilo",2.00,13.50
"DeAndre Jordan","Los Angeles Clippers",2016-04-06,2015,3442,1610612746,400829059,2,4,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-03-21,2015,1966,1610612739,400828931,4,11,07,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Shaun Livingston","Golden State Warriors",2016-04-05,2015,2393,1610612744,400829050,2,5,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Markieff Morris","Washington Wizards",2016-03-21,2015,6461,1610612764,400828935,3,3,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-04-06,2015,3442,1610612746,400829059,1,1,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Emmanuel Mudiay","Denver Nuggets",2016-01-13,2015,3892818,1610612743,400828470,4,8,30,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,1.10,"Barnes, Harrison",5.40,18.60
"DeAndre Jordan","Los Angeles Clippers",2016-04-06,2015,3442,1610612746,400829059,3,2,21,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-03-16,2015,3442,1610612746,400828896,2,3,01,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2016-04-06,2015,3442,1610612746,400829059,3,7,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
